case_id,question,context_count,citations_count,expected_documents,retrieved_documents,error,answer_relevancy,context_precision,context_recall,faithfulness
gitlab-handbook-introduction,What is the GitLab team handbook used for?,5,3,content/handbook/_index.md,content/handbook/about/direction.md;content/handbook/_index.md;content/handbook/about/direction.md;content/handbook/about/direction.md;content/handbook/about/handbook-usage.md,,0.987694585890685,0.6388888888675925,1.0,0.85
gitlab-handbook-advantages,Why does GitLab say the handbook helps onboarding and teamwork?,5,3,content/handbook/about/_index.md,content/handbook/about/_index.md;content/handbook/about/_index.md;content/handbook/about/handbook-usage.md;content/handbook/about/direction.md;content/handbook/about/handbook-usage.md,,0.969976496818925,0.7555555555303703,0.0,0.7
gitlab-handbook-contributing,How can someone contribute improvements to the GitLab Handbook?,5,3,content/handbook/about/contributing.md,content/handbook/_index.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/contributing.md;content/handbook/about/handbook-usage.md,,0.9999999999999997,0.99999999998,1.0,1.0
gitlab-handbook-direction,What does the handbook direction page say the handbook is the source of truth for?,5,3,content/handbook/about/direction.md,content/handbook/about/direction.md;content/handbook/about/handbook-usage.md;content/handbook/about/direction.md;content/handbook/about/handbook-usage.md;content/handbook/about/direction.md,,0.676036082239951,0.8333333332916666,1.0,1.0
gitlab-handbook-editing,Where should someone look if they want to learn how to edit the handbook?,5,3,content/handbook/about/editing-handbook/_index.md,content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/practical-handbook-edits.md,,0.9275056768069861,0.49999999995,1.0,1.0
gitlab-team-page-entry,What does the edit your team page entry page specifically cover?,5,3,content/handbook/about/editing-handbook/edit-team-page.md,content/handbook/about/editing-handbook/edit-team-page.md;content/handbook/about/editing-handbook/edit-team-page.md;content/handbook/about/editing-handbook/edit-team-page.md;content/handbook/about/editing-handbook/edit-team-page.md;content/handbook/about/editing-handbook/edit-team-page.md,,0.9789256738520883,0.9999999999,1.0,1.0
gitlab-practical-edits,Who are the practical handbook editing tips intended to help?,5,3,content/handbook/about/editing-handbook/practical-handbook-edits.md,content/handbook/about/editing-handbook/practical-handbook-edits.md;content/handbook/about/editing-handbook/_index.md;content/handbook/about/editing-handbook/practical-handbook-edits.md;content/handbook/about/editing-handbook/practical-handbook-edits.md;content/handbook/about/editing-handbook/_index.md,,0.9999999999999996,0.9999999999,1.0,1.0
gitlab-handbook-escalation,Which handbook issues should only be escalated according to the handbook escalation page?,5,3,content/handbook/about/escalation.md,content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/escalation.md;content/handbook/about/escalation.md,,0.8751463116303864,0.49999999995,1.0,1.0
gitlab-handbook-usage-flow,What is the general flow for changing a process in the GitLab handbook?,5,3,content/handbook/about/handbook-usage.md,content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md;content/handbook/about/handbook-usage.md,,0.9999999999999997,0.99999999998,1.0,0.9565217391304348
gitlab-acquisition-strategy,What is GitLab's key goal when pursuing acquisitions?,5,3,content/handbook/acquisitions/_index.md,content/handbook/acquisitions/_index.md;content/handbook/acquisitions/_index.md;content/handbook/acquisitions/_index.md;content/handbook/acquisitions/_index.md;content/handbook/acquisitions/_index.md,,0.9961885444986097,0.9999999999,1.0,1.0
